precision_quantile,precision_threshold,runtime_quantile,runtime_threshold,optimal_val,feasible_ratio,top_10%_overlap,top_1%_overlap
0.001,0.9604781183728552,0.001,0.07804059982299805,,0.0,0.0,0.0
0.001,0.9604781183728552,0.005,0.1328582763671875,,0.0,0.0,0.0
0.001,0.9604781183728552,0.01,0.16815733909606934,,0.0,0.0,0.0
0.001,0.9604781183728552,0.05,0.3454580307006836,0.03181029496818977,6.666666666666667e-06,6.666666666666667e-06,6.666666666666667e-06
0.001,0.9604781183728552,0.1,0.5450835227966309,0.02853287063813381,2e-05,2e-05,2e-05
0.001,0.9604781183728552,0.25,1.2600741386413574,0.02853287063813381,0.00016,0.00016,0.00016
0.001,0.9604781183728552,0.5,3.8033812046051025,0.02853287063813381,0.0005,0.0005,0.0005
0.001,0.9604781183728552,0.75,15.21935772895813,0.02742433005590894,0.0009733333333333333,0.0009733333333333333,0.0009733333333333333
0.001,0.9604781183728552,0.9,63.66504645347595,0.02742433005590894,0.00122,0.00122,0.00122
0.001,0.9604781183728552,0.95,157.08731698989868,0.02742433005590894,0.00128,0.00128,0.00128
0.001,0.9604781183728552,1.0,8727.539854049683,0.02742433005590894,0.0012933333333333334,0.0012933333333333334,0.0012933333333333334
0.005,0.9551269719122739,0.001,0.07804059982299805,,0.0,0.0,0.0
0.005,0.9551269719122739,0.005,0.1328582763671875,,0.0,0.0,0.0
0.005,0.9551269719122739,0.01,0.16815733909606934,,0.0,0.0,0.0
0.005,0.9551269719122739,0.05,0.3454580307006836,0.03181029496818977,2e-05,2e-05,2e-05
0.005,0.9551269719122739,0.1,0.5450835227966309,0.02853287063813381,0.00018,0.00018,0.00018
0.005,0.9551269719122739,0.25,1.2600741386413574,0.02853287063813381,0.0009066666666666666,0.0009066666666666666,0.0008866666666666667
0.005,0.9551269719122739,0.5,3.8033812046051025,0.02853287063813381,0.0029866666666666665,0.0029866666666666665,0.00294
0.005,0.9551269719122739,0.75,15.21935772895813,0.02742433005590894,0.00556,0.00556,0.0055
0.005,0.9551269719122739,0.9,63.66504645347595,0.02742433005590894,0.00732,0.00732,0.00726
0.005,0.9551269719122739,0.95,157.08731698989868,0.02742433005590894,0.008026666666666666,0.008026666666666666,0.007966666666666667
0.005,0.9551269719122739,1.0,8727.539854049683,0.02742433005590894,0.008526666666666667,0.008526666666666667,0.008466666666666667
0.01,0.9545715928694652,0.001,0.07804059982299805,,0.0,0.0,0.0
0.01,0.9545715928694652,0.005,0.1328582763671875,,0.0,0.0,0.0
0.01,0.9545715928694652,0.01,0.16815733909606934,,0.0,0.0,0.0
0.01,0.9545715928694652,0.05,0.3454580307006836,0.03181029496818977,2e-05,2e-05,2e-05
0.01,0.9545715928694652,0.1,0.5450835227966309,0.02853287063813381,0.00022,0.00022,0.00022
0.01,0.9545715928694652,0.25,1.2600741386413574,0.02853287063813381,0.0011733333333333333,0.0011733333333333333,0.0011533333333333333
0.01,0.9545715928694652,0.5,3.8033812046051025,0.02853287063813381,0.0036133333333333334,0.0036133333333333334,0.0035666666666666668
0.01,0.9545715928694652,0.75,15.21935772895813,0.02742433005590894,0.0067466666666666664,0.0067466666666666664,0.00668
0.01,0.9545715928694652,0.9,63.66504645347595,0.02742433005590894,0.00882,0.00882,0.008753333333333333
0.01,0.9545715928694652,0.95,157.08731698989868,0.02742433005590894,0.00962,0.00962,0.009553333333333334
0.01,0.9545715928694652,1.0,8727.539854049683,0.02742433005590894,0.010206666666666666,0.010206666666666666,0.01014
0.05,0.9447479394287905,0.001,0.07804059982299805,,0.0,0.0,0.0
0.05,0.9447479394287905,0.005,0.1328582763671875,0.0526797763639868,1.3333333333333333e-05,1.3333333333333333e-05,0.0
0.05,0.9447479394287905,0.01,0.16815733909606934,0.0526797763639868,2.6666666666666667e-05,2.6666666666666667e-05,0.0
0.05,0.9447479394287905,0.05,0.3454580307006836,0.03181029496818977,0.00044,0.0004333333333333333,4.6666666666666665e-05
0.05,0.9447479394287905,0.1,0.5450835227966309,0.02853287063813381,0.00172,0.0017133333333333334,0.0002933333333333333
0.05,0.9447479394287905,0.25,1.2600741386413574,0.02853287063813381,0.006886666666666667,0.006866666666666667,0.0013133333333333332
0.05,0.9447479394287905,0.5,3.8033812046051025,0.02853287063813381,0.018426666666666668,0.018373333333333332,0.00382
0.05,0.9447479394287905,0.75,15.21935772895813,0.02742433005590894,0.032793333333333334,0.03269333333333333,0.007026666666666666
0.05,0.9447479394287905,0.9,63.66504645347595,0.02742433005590894,0.04326666666666667,0.04316,0.00918
0.05,0.9447479394287905,0.95,157.08731698989868,0.02742433005590894,0.0478,0.04766,0.01
0.05,0.9447479394287905,1.0,8727.539854049683,0.02742433005590894,0.05266666666666667,0.0525,0.0106
0.1,0.9362318840579711,0.001,0.07804059982299805,,0.0,0.0,0.0
0.1,0.9362318840579711,0.005,0.1328582763671875,0.0526797763639868,1.3333333333333333e-05,1.3333333333333333e-05,0.0
0.1,0.9362318840579711,0.01,0.16815733909606934,0.0526797763639868,3.3333333333333335e-05,2.6666666666666667e-05,0.0
0.1,0.9362318840579711,0.05,0.3454580307006836,0.03181029496818977,0.0011466666666666667,0.0009066666666666666,4.6666666666666665e-05
0.1,0.9362318840579711,0.1,0.5450835227966309,0.02853287063813381,0.004346666666666667,0.0035666666666666668,0.0002933333333333333
0.1,0.9362318840579711,0.25,1.2600741386413574,0.02853287063813381,0.0153,0.01292,0.0013133333333333332
0.1,0.9362318840579711,0.5,3.8033812046051025,0.02853287063813381,0.037033333333333335,0.031766666666666665,0.00382
0.1,0.9362318840579711,0.75,15.21935772895813,0.02742433005590894,0.06554666666666667,0.056,0.007026666666666666
0.1,0.9362318840579711,0.9,63.66504645347595,0.02742433005590894,0.08729333333333333,0.0739,0.00918
0.1,0.9362318840579711,0.95,157.08731698989868,0.02742433005590894,0.09626666666666667,0.08153333333333333,0.01
0.1,0.9362318840579711,1.0,8727.539854049683,0.02742433005590894,0.10729333333333334,0.09054666666666666,0.0106
0.25,0.9255482878030011,0.001,0.07804059982299805,,0.0,0.0,0.0
0.25,0.9255482878030011,0.005,0.1328582763671875,0.0526797763639868,6e-05,2e-05,0.0
