precision_quantile,precision_threshold,runtime_quantile,runtime_threshold,optimal_val,feasible_ratio,top_10%_overlap,top_1%_overlap
0.001,1.0,0.001,0.19188308715820312,,0.0,0.0,0.0
0.001,1.0,0.005,0.2991480827331543,,0.0,0.0,0.0
0.001,1.0,0.01,0.3783144950866699,,0.0,0.0,0.0
0.001,1.0,0.05,0.7882735729217529,0.0,0.0021466666666666665,0.0021466666666666665,0.0021466666666666665
0.001,1.0,0.1,1.225947618484497,0.0,0.007373333333333333,0.007373333333333333,0.007373333333333333
0.001,1.0,0.25,2.871180295944214,0.0,0.02288,0.02288,0.02288
0.001,1.0,0.5,8.632041454315186,0.0,0.04883333333333333,0.04883333333333333,0.04883333333333333
0.001,1.0,0.75,35.47624659538269,0.0,0.08059333333333334,0.08059333333333334,0.08059333333333334
0.001,1.0,0.9,154.64976358413696,0.0,0.10466,0.10466,0.10466
0.001,1.0,0.95,387.99718499183655,0.0,0.11496666666666666,0.11496666666666666,0.11496666666666666
0.001,1.0,1.0,36083.269340753555,0.0,0.12778,0.12778,0.12778
0.005,1.0,0.001,0.19188308715820312,,0.0,0.0,0.0
0.005,1.0,0.005,0.2991480827331543,,0.0,0.0,0.0
0.005,1.0,0.01,0.3783144950866699,,0.0,0.0,0.0
0.005,1.0,0.05,0.7882735729217529,0.0,0.0021466666666666665,0.0021466666666666665,0.0021466666666666665
0.005,1.0,0.1,1.225947618484497,0.0,0.007373333333333333,0.007373333333333333,0.007373333333333333
0.005,1.0,0.25,2.871180295944214,0.0,0.02288,0.02288,0.02288
0.005,1.0,0.5,8.632041454315186,0.0,0.04883333333333333,0.04883333333333333,0.04883333333333333
0.005,1.0,0.75,35.47624659538269,0.0,0.08059333333333334,0.08059333333333334,0.08059333333333334
0.005,1.0,0.9,154.64976358413696,0.0,0.10466,0.10466,0.10466
0.005,1.0,0.95,387.99718499183655,0.0,0.11496666666666666,0.11496666666666666,0.11496666666666666
0.005,1.0,1.0,36083.269340753555,0.0,0.12778,0.12778,0.12778
0.01,1.0,0.001,0.19188308715820312,,0.0,0.0,0.0
0.01,1.0,0.005,0.2991480827331543,,0.0,0.0,0.0
0.01,1.0,0.01,0.3783144950866699,,0.0,0.0,0.0
0.01,1.0,0.05,0.7882735729217529,0.0,0.0021466666666666665,0.0021466666666666665,0.0021466666666666665
0.01,1.0,0.1,1.225947618484497,0.0,0.007373333333333333,0.007373333333333333,0.007373333333333333
0.01,1.0,0.25,2.871180295944214,0.0,0.02288,0.02288,0.02288
0.01,1.0,0.5,8.632041454315186,0.0,0.04883333333333333,0.04883333333333333,0.04883333333333333
0.01,1.0,0.75,35.47624659538269,0.0,0.08059333333333334,0.08059333333333334,0.08059333333333334
0.01,1.0,0.9,154.64976358413696,0.0,0.10466,0.10466,0.10466
0.01,1.0,0.95,387.99718499183655,0.0,0.11496666666666666,0.11496666666666666,0.11496666666666666
0.01,1.0,1.0,36083.269340753555,0.0,0.12778,0.12778,0.12778
0.05,1.0,0.001,0.19188308715820312,,0.0,0.0,0.0
0.05,1.0,0.005,0.2991480827331543,,0.0,0.0,0.0
0.05,1.0,0.01,0.3783144950866699,,0.0,0.0,0.0
0.05,1.0,0.05,0.7882735729217529,0.0,0.0021466666666666665,0.0021466666666666665,0.0021466666666666665
0.05,1.0,0.1,1.225947618484497,0.0,0.007373333333333333,0.007373333333333333,0.007373333333333333
0.05,1.0,0.25,2.871180295944214,0.0,0.02288,0.02288,0.02288
0.05,1.0,0.5,8.632041454315186,0.0,0.04883333333333333,0.04883333333333333,0.04883333333333333
0.05,1.0,0.75,35.47624659538269,0.0,0.08059333333333334,0.08059333333333334,0.08059333333333334
0.05,1.0,0.9,154.64976358413696,0.0,0.10466,0.10466,0.10466
0.05,1.0,0.95,387.99718499183655,0.0,0.11496666666666666,0.11496666666666666,0.11496666666666666
0.05,1.0,1.0,36083.269340753555,0.0,0.12778,0.12778,0.12778
0.1,1.0,0.001,0.19188308715820312,,0.0,0.0,0.0
0.1,1.0,0.005,0.2991480827331543,,0.0,0.0,0.0
0.1,1.0,0.01,0.3783144950866699,,0.0,0.0,0.0
0.1,1.0,0.05,0.7882735729217529,0.0,0.0021466666666666665,0.0021466666666666665,0.0021466666666666665
0.1,1.0,0.1,1.225947618484497,0.0,0.007373333333333333,0.007373333333333333,0.007373333333333333
0.1,1.0,0.25,2.871180295944214,0.0,0.02288,0.02288,0.02288
0.1,1.0,0.5,8.632041454315186,0.0,0.04883333333333333,0.04883333333333333,0.04883333333333333
0.1,1.0,0.75,35.47624659538269,0.0,0.08059333333333334,0.08059333333333334,0.08059333333333334
0.1,1.0,0.9,154.64976358413696,0.0,0.10466,0.10466,0.10466
0.1,1.0,0.95,387.99718499183655,0.0,0.11496666666666666,0.11496666666666666,0.11496666666666666
0.1,1.0,1.0,36083.269340753555,0.0,0.12778,0.12778,0.12778
0.25,0.99495579508296,0.001,0.19188308715820312,,0.0,0.0,0.0
0.25,0.99495579508296,0.005,0.2991480827331543,,0.0,0.0,0.0
0.25,0.99495579508296,0.01,0.3783144950866699,0.000694444444444442,2.6666666666666667e-05,0.0,0.0
0.25,0.99495579508296,0.05,0.7882735729217529,0.0,0.00526,0.0021466666666666665,0.0021466666666666665
0.25,0.99495579508296,0.1,1.225947618484497,0.0,0.01735333333333333,0.007373333333333333,0.007373333333333333
0.25,0.99495579508296,0.25,2.871180295944214,0.0,0.05313333333333333,0.02288,0.02288
0.25,0.99495579508296,0.5,8.632041454315186,0.0,0.10953333333333333,0.04883333333333333,0.04883333333333333
0.25,0.99495579508296,0.75,35.47624659538269,0.0,0.17198666666666668,0.08059333333333334,0.08059333333333334
0.25,0.99495579508296,0.9,154.64976358413696,0.0,0.21538,0.10466,0.10466
0.25,0.99495579508296,0.95,387.99718499183655,0.0,0.23292,0.11496666666666666,0.11496666666666666
0.25,0.99495579508296,1.0,36083.269340753555,0.0,0.25362666666666667,0.12778,0.12778
0.5,0.9341710064187962,0.001,0.19188308715820312,0.034137426900584855,6.666666666666667e-06,0.0,0.0
0.5,0.9341710064187962,0.005,0.2991480827331543,0.004276315789473628,0.00016,0.0,0.0
0.5,0.9341710064187962,0.01,0.3783144950866699,0.000694444444444442,0.0003733333333333333,0.0,0.0
0.5,0.9341710064187962,0.05,0.7882735729217529,0.0,0.012713333333333333,0.0021466666666666665,0.0021466666666666665
0.5,0.9341710064187962,0.1,1.225947618484497,0.0,0.03786,0.007373333333333333,0.007373333333333333
0.5,0.9341710064187962,0.25,2.871180295944214,0.0,0.11197333333333333,0.02288,0.02288
0.5,0.9341710064187962,0.5,8.632041454315186,0.0,0.22851333333333335,0.04883333333333333,0.04883333333333333
0.5,0.9341710064187962,0.75,35.47624659538269,0.0,0.35678,0.08059333333333334,0.08059333333333334
0.5,0.9341710064187962,0.9,154.64976358413696,0.0,0.43843333333333334,0.10466,0.10466
0.5,0.9341710064187962,0.95,387.99718499183655,0.0,0.4690933333333333,0.11496666666666666,0.11496666666666666
0.5,0.9341710064187962,1.0,36083.269340753555,0.0,0.50002,0.12778,0.12778
0.75,0.39039408866995073,0.001,0.19188308715820312,0.034137426900584855,0.00014,0.0,0.0
0.75,0.39039408866995073,0.005,0.2991480827331543,0.004276315789473628,0.0014666666666666667,0.0,0.0
0.75,0.39039408866995073,0.01,0.3783144950866699,0.000694444444444442,0.003673333333333333,0.0,0.0
0.75,0.39039408866995073,0.05,0.7882735729217529,0.0,0.030746666666666665,0.0021466666666666665,0.0021466666666666665
0.75,0.39039408866995073,0.1,1.225947618484497,0.0,0.06974666666666667,0.007373333333333333,0.007373333333333333
0.75,0.39039408866995073,0.25,2.871180295944214,0.0,0.17925333333333332,0.02288,0.02288
0.75,0.39039408866995073,0.5,8.632041454315186,0.0,0.35458,0.04883333333333333,0.04883333333333333
0.75,0.39039408866995073,0.75,35.47624659538269,0.0,0.5511533333333334,0.08059333333333334,0.08059333333333334
0.75,0.39039408866995073,0.9,154.64976358413696,0.0,0.6737866666666666,0.10466,0.10466
0.75,0.39039408866995073,0.95,387.99718499183655,0.0,0.7125466666666667,0.11496666666666666,0.11496666666666666
0.75,0.39039408866995073,1.0,36083.269340753555,0.0,0.7503,0.12778,0.12778
0.9,0.17509727626459143,0.001,0.19188308715820312,0.034137426900584855,0.001,0.0,0.0
0.9,0.17509727626459143,0.005,0.2991480827331543,0.004276315789473628,0.00498,0.0,0.0
0.9,0.17509727626459143,0.01,0.3783144950866699,0.000694444444444442,0.009953333333333333,0.0,0.0
0.9,0.17509727626459143,0.05,0.7882735729217529,0.0,0.04986,0.0021466666666666665,0.0021466666666666665
0.9,0.17509727626459143,0.1,1.225947618484497,0.0,0.09978,0.007373333333333333,0.007373333333333333
0.9,0.17509727626459143,0.25,2.871180295944214,0.0,0.24866666666666667,0.02288,0.02288
0.9,0.17509727626459143,0.5,8.632041454315186,0.0,0.49706,0.04883333333333333,0.04883333333333333
0.9,0.17509727626459143,0.75,35.47624659538269,0.0,0.7461533333333333,0.08059333333333334,0.08059333333333334
0.9,0.17509727626459143,0.9,154.64976358413696,0.0,0.89574,0.10466,0.10466
0.9,0.17509727626459143,0.95,387.99718499183655,0.0,0.94552,0.11496666666666666,0.11496666666666666
0.9,0.17509727626459143,1.0,36083.269340753555,0.0,0.9951533333333333,0.12778,0.12778
0.95,0.17509727626459143,0.001,0.19188308715820312,0.034137426900584855,0.001,0.0,0.0
0.95,0.17509727626459143,0.005,0.2991480827331543,0.004276315789473628,0.00498,0.0,0.0
0.95,0.17509727626459143,0.01,0.3783144950866699,0.000694444444444442,0.009953333333333333,0.0,0.0
0.95,0.17509727626459143,0.05,0.7882735729217529,0.0,0.04986,0.0021466666666666665,0.0021466666666666665
0.95,0.17509727626459143,0.1,1.225947618484497,0.0,0.09978,0.007373333333333333,0.007373333333333333
0.95,0.17509727626459143,0.25,2.871180295944214,0.0,0.24866666666666667,0.02288,0.02288
0.95,0.17509727626459143,0.5,8.632041454315186,0.0,0.49706,0.04883333333333333,0.04883333333333333
0.95,0.17509727626459143,0.75,35.47624659538269,0.0,0.7461533333333333,0.08059333333333334,0.08059333333333334
0.95,0.17509727626459143,0.9,154.64976358413696,0.0,0.89574,0.10466,0.10466
0.95,0.17509727626459143,0.95,387.99718499183655,0.0,0.94552,0.11496666666666666,0.11496666666666666
0.95,0.17509727626459143,1.0,36083.269340753555,0.0,0.9951533333333333,0.12778,0.12778
1.0,0.009727626459143969,0.001,0.19188308715820312,0.034137426900584855,0.001,0.0,0.0
1.0,0.009727626459143969,0.005,0.2991480827331543,0.004276315789473628,0.005,0.0,0.0
1.0,0.009727626459143969,0.01,0.3783144950866699,0.000694444444444442,0.01,0.0,0.0
1.0,0.009727626459143969,0.05,0.7882735729217529,0.0,0.05,0.0021466666666666665,0.0021466666666666665
1.0,0.009727626459143969,0.1,1.225947618484497,0.0,0.1,0.007373333333333333,0.007373333333333333
1.0,0.009727626459143969,0.25,2.871180295944214,0.0,0.25,0.02288,0.02288
1.0,0.009727626459143969,0.5,8.632041454315186,0.0,0.5,0.04883333333333333,0.04883333333333333
1.0,0.009727626459143969,0.75,35.47624659538269,0.0,0.75,0.08059333333333334,0.08059333333333334
1.0,0.009727626459143969,0.9,154.64976358413696,0.0,0.9,0.10466,0.10466
1.0,0.009727626459143969,0.95,387.99718499183655,0.0,0.95,0.11496666666666666,0.11496666666666666
1.0,0.009727626459143969,1.0,36083.269340753555,0.0,1.0,0.12778,0.12778
