model_size_quantile,model_size_threshold,runtime_quantile,runtime_threshold,optimal_val,feasible_ratio,top_10%_overlap,top_1%_overlap
0.001,0.00489,0.001,7621.0,26.9,0.0002788888888888889,0.0,0.0
0.001,0.00489,0.005,9182.0,26.03,0.001182962962962963,0.0,0.0
0.001,0.00489,0.01,10172.0,26.03,0.0013427407407407407,0.0,0.0
0.001,0.00489,0.05,13487.0,26.03,0.0035237777777777776,0.0,0.0
0.001,0.00489,0.1,17127.0,26.03,0.005190888888888889,0.0,0.0
0.001,0.00489,0.25,27923.0,26.03,0.007376148148148148,0.0,0.0
0.001,0.00489,0.5,49338.0,26.03,0.009004888888888889,0.0,0.0
0.001,0.00489,0.75,95215.0,26.03,0.009614592592592593,0.0,0.0
0.001,0.00489,0.9,177099.0,26.03,0.00975274074074074,0.0,0.0
0.001,0.00489,0.95,258089.0,26.03,0.009758740740740741,0.0,0.0
0.001,0.00489,1.0,677431.0,26.03,0.009758740740740741,0.0,0.0
0.005,0.00489,0.001,7621.0,26.9,0.0002788888888888889,0.0,0.0
0.005,0.00489,0.005,9182.0,26.03,0.001182962962962963,0.0,0.0
0.005,0.00489,0.01,10172.0,26.03,0.0013427407407407407,0.0,0.0
0.005,0.00489,0.05,13487.0,26.03,0.0035237777777777776,0.0,0.0
0.005,0.00489,0.1,17127.0,26.03,0.005190888888888889,0.0,0.0
0.005,0.00489,0.25,27923.0,26.03,0.007376148148148148,0.0,0.0
0.005,0.00489,0.5,49338.0,26.03,0.009004888888888889,0.0,0.0
0.005,0.00489,0.75,95215.0,26.03,0.009614592592592593,0.0,0.0
0.005,0.00489,0.9,177099.0,26.03,0.00975274074074074,0.0,0.0
0.005,0.00489,0.95,258089.0,26.03,0.009758740740740741,0.0,0.0
0.005,0.00489,1.0,677431.0,26.03,0.009758740740740741,0.0,0.0
0.01,0.0049,0.001,7621.0,26.9,0.0002839259259259259,0.0,0.0
0.01,0.0049,0.005,9182.0,26.03,0.001289925925925926,0.0,0.0
