model_size_quantile,model_size_threshold,runtime_quantile,runtime_threshold,optimal_val,feasible_ratio,top_10%_overlap,top_1%_overlap
0.001,0.00486,0.001,1717.0,7.73,0.00018637037037037038,0.0,0.0
0.001,0.00486,0.005,1927.0,7.73,0.0004605925925925926,0.0,0.0
0.001,0.00486,0.01,2041.0,7.62,0.0007109629629629629,0.0,0.0
0.001,0.00486,0.05,2513.0,7.62,0.0024336296296296298,0.0,0.0
0.001,0.00486,0.1,2944.0,7.17,0.0043055555555555555,0.0,0.0
0.001,0.00486,0.25,4454.0,7.17,0.009596296296296295,0.0,0.0
0.001,0.00486,0.5,8094.0,7.17,0.014276592592592592,0.0,0.0
0.001,0.00486,0.75,16900.0,7.17,0.015486962962962963,0.0,0.0
0.001,0.00486,0.9,31985.0,7.17,0.01554962962962963,0.0,0.0
0.001,0.00486,0.95,45223.0,7.17,0.015552,0.0,0.0
0.001,0.00486,1.0,220099.0,7.17,0.015552,0.0,0.0
0.005,0.00486,0.001,1717.0,7.73,0.00018637037037037038,0.0,0.0
0.005,0.00486,0.005,1927.0,7.73,0.0004605925925925926,0.0,0.0
0.005,0.00486,0.01,2041.0,7.62,0.0007109629629629629,0.0,0.0
0.005,0.00486,0.05,2513.0,7.62,0.0024336296296296298,0.0,0.0
0.005,0.00486,0.1,2944.0,7.17,0.0043055555555555555,0.0,0.0
0.005,0.00486,0.25,4454.0,7.17,0.009596296296296295,0.0,0.0
0.005,0.00486,0.5,8094.0,7.17,0.014276592592592592,0.0,0.0
0.005,0.00486,0.75,16900.0,7.17,0.015486962962962963,0.0,0.0
0.005,0.00486,0.9,31985.0,7.17,0.01554962962962963,0.0,0.0
0.005,0.00486,0.95,45223.0,7.17,0.015552,0.0,0.0
0.005,0.00486,1.0,220099.0,7.17,0.015552,0.0,0.0
0.01,0.00486,0.001,1717.0,7.73,0.00018637037037037038,0.0,0.0
0.01,0.00486,0.005,1927.0,7.73,0.0004605925925925926,0.0,0.0
0.01,0.00486,0.01,2041.0,7.62,0.0007109629629629629,0.0,0.0
0.01,0.00486,0.05,2513.0,7.62,0.0024336296296296298,0.0,0.0
0.01,0.00486,0.1,2944.0,7.17,0.0043055555555555555,0.0,0.0
0.01,0.00486,0.25,4454.0,7.17,0.009596296296296295,0.0,0.0
0.01,0.00486,0.5,8094.0,7.17,0.014276592592592592,0.0,0.0
0.01,0.00486,0.75,16900.0,7.17,0.015486962962962963,0.0,0.0
0.01,0.00486,0.9,31985.0,7.17,0.01554962962962963,0.0,0.0
0.01,0.00486,0.95,45223.0,7.17,0.015552,0.0,0.0
0.01,0.00486,1.0,220099.0,7.17,0.015552,0.0,0.0
0.05,0.00651,0.001,1717.0,7.4,0.0002754814814814815,0.0,0.0
0.05,0.00651,0.005,1927.0,6.54,0.001081111111111111,1.0370370370370371e-06,0.0
0.05,0.00651,0.01,2041.0,6.1,0.002042148148148148,3.7037037037037037e-06,0.0
0.05,0.00651,0.05,2513.0,5.79,0.010027851851851852,2.7851851851851853e-05,0.0
0.05,0.00651,0.1,2944.0,5.79,0.01832311111111111,4.681481481481481e-05,0.0
0.05,0.00651,0.25,4454.0,5.79,0.03594496296296296,8.155555555555555e-05,0.0
0.05,0.00651,0.5,8094.0,5.66,0.04726281481481481,9.814814814814815e-05,0.0
0.05,0.00651,0.75,16900.0,5.66,0.04995022222222222,9.896296296296297e-05,0.0
0.05,0.00651,0.9,31985.0,5.66,0.05008185185185185,9.896296296296297e-05,0.0
0.05,0.00651,0.95,45223.0,5.66,0.050085333333333336,9.896296296296297e-05,0.0
0.05,0.00651,1.0,220099.0,5.66,0.050085333333333336,9.896296296296297e-05,0.0
0.1,0.00862,0.001,1717.0,7.4,0.0003512592592592593,0.0,0.0
0.1,0.00862,0.005,1927.0,6.38,0.0016542962962962963,2.222222222222222e-06,0.0
0.1,0.00862,0.01,2041.0,6.1,0.0033078518518518518,8.074074074074075e-06,0.0
0.1,0.00862,0.05,2513.0,5.79,0.017804592592592594,5.177777777777778e-05,0.0
0.1,0.00862,0.1,2944.0,5.79,0.03283333333333333,8.977777777777778e-05,0.0
0.1,0.00862,0.25,4454.0,5.79,0.06646207407407408,0.00016844444444444445,0.0
0.1,0.00862,0.5,8094.0,5.66,0.0927682962962963,0.00020392592592592592,0.0
0.1,0.00862,0.75,16900.0,5.66,0.09968785185185185,0.0002048888888888889,0.0
0.1,0.00862,0.9,31985.0,5.66,0.10014955555555556,0.0002048888888888889,0.0
0.1,0.00862,0.95,45223.0,5.66,0.10016888888888889,0.0002048888888888889,0.0
0.1,0.00862,1.0,220099.0,5.66,0.10016896296296296,0.0002048888888888889,0.0
0.25,0.02153,0.001,1717.0,5.02,0.0009677037037037037,8e-06,0.0
0.25,0.02153,0.005,1927.0,4.81,0.004740740740740741,6.059259259259259e-05,5.925925925925926e-07
