model_size_quantile,model_size_threshold,runtime_quantile,runtime_threshold,optimal_val,feasible_ratio,top_10%_overlap,top_1%_overlap
0.001,0.00482,0.001,16653.0,6.02,4.562962962962963e-05,0.0,0.0
0.001,0.00482,0.005,19096.0,5.42,0.00016333333333333334,2.2222222222222222e-07,0.0
0.001,0.00482,0.01,20570.0,5.42,0.00028496296296296294,2.962962962962963e-07,0.0
0.001,0.00482,0.05,26422.0,5.09,0.0008813333333333334,2.5185185185185186e-06,7.407407407407407e-08
0.001,0.00482,0.1,32502.0,5.09,0.0013805925925925925,6.740740740740741e-06,7.407407407407407e-08
0.001,0.00482,0.25,54332.0,5.09,0.003121185185185185,2.214814814814815e-05,1.4814814814814815e-07
0.001,0.00482,0.5,88857.0,5.09,0.005060740740740741,2.511111111111111e-05,2.2222222222222222e-07
0.001,0.00482,0.75,148148.0,5.09,0.005900666666666667,2.5925925925925925e-05,2.2222222222222222e-07
0.001,0.00482,0.9,212875.0,5.09,0.00604037037037037,2.5925925925925925e-05,2.2222222222222222e-07
0.001,0.00482,0.95,254531.0,5.09,0.00605162962962963,2.5925925925925925e-05,2.2222222222222222e-07
0.001,0.00482,1.0,629880.0,5.09,0.006052296296296296,2.5925925925925925e-05,2.2222222222222222e-07
0.005,0.00482,0.001,16653.0,6.02,4.562962962962963e-05,0.0,0.0
0.005,0.00482,0.005,19096.0,5.42,0.00016333333333333334,2.2222222222222222e-07,0.0
0.005,0.00482,0.01,20570.0,5.42,0.00028496296296296294,2.962962962962963e-07,0.0
0.005,0.00482,0.05,26422.0,5.09,0.0008813333333333334,2.5185185185185186e-06,7.407407407407407e-08
0.005,0.00482,0.1,32502.0,5.09,0.0013805925925925925,6.740740740740741e-06,7.407407407407407e-08
0.005,0.00482,0.25,54332.0,5.09,0.003121185185185185,2.214814814814815e-05,1.4814814814814815e-07
0.005,0.00482,0.5,88857.0,5.09,0.005060740740740741,2.511111111111111e-05,2.2222222222222222e-07
0.005,0.00482,0.75,148148.0,5.09,0.005900666666666667,2.5925925925925925e-05,2.2222222222222222e-07
0.005,0.00482,0.9,212875.0,5.09,0.00604037037037037,2.5925925925925925e-05,2.2222222222222222e-07
0.005,0.00482,0.95,254531.0,5.09,0.00605162962962963,2.5925925925925925e-05,2.2222222222222222e-07
0.005,0.00482,1.0,629880.0,5.09,0.006052296296296296,2.5925925925925925e-05,2.2222222222222222e-07
0.01,0.00484,0.001,16653.0,5.77,8.162962962962963e-05,1.4814814814814815e-07,0.0
0.01,0.00484,0.005,19096.0,5.42,0.000304,7.407407407407407e-07,0.0
0.01,0.00484,0.01,20570.0,5.28,0.00053,1.111111111111111e-06,0.0
0.01,0.00484,0.05,26422.0,5.09,0.0017008148148148147,5.185185185185185e-06,7.407407407407407e-08
0.01,0.00484,0.1,32502.0,5.09,0.0026237037037037036,1.1333333333333334e-05,7.407407407407407e-08
0.01,0.00484,0.25,54332.0,5.04,0.005987555555555556,3.444444444444445e-05,2.2222222222222222e-07
0.01,0.00484,0.5,88857.0,5.04,0.009650222222222221,4.140740740740741e-05,2.962962962962963e-07
0.01,0.00484,0.75,148148.0,5.04,0.011174814814814815,4.362962962962963e-05,2.962962962962963e-07
0.01,0.00484,0.9,212875.0,5.04,0.011429925925925927,4.362962962962963e-05,2.962962962962963e-07
0.01,0.00484,0.95,254531.0,5.04,0.011447925925925926,4.362962962962963e-05,2.962962962962963e-07
0.01,0.00484,1.0,629880.0,5.04,0.011448888888888889,4.362962962962963e-05,2.962962962962963e-07
0.05,0.00544,0.001,16653.0,5.42,0.0004822962962962963,5.185185185185186e-07,0.0
0.05,0.00544,0.005,19096.0,5.42,0.0017925185185185186,1.4074074074074073e-06,0.0
0.05,0.00544,0.01,20570.0,5.28,0.003084814814814815,2.7407407407407407e-06,0.0
0.05,0.00544,0.05,26422.0,5.09,0.009817925925925926,2.162962962962963e-05,1.4814814814814815e-07
0.05,0.00544,0.1,32502.0,5.09,0.01485437037037037,4.2888888888888886e-05,1.4814814814814815e-07
0.05,0.00544,0.25,54332.0,4.94,0.02887874074074074,0.00016792592592592591,1.7037037037037036e-06
0.05,0.00544,0.5,88857.0,4.87,0.04323333333333333,0.0002397037037037037,2.7407407407407407e-06
0.05,0.00544,0.75,148148.0,4.87,0.04918644444444444,0.00027562962962962963,3.3333333333333333e-06
0.05,0.00544,0.9,212875.0,4.87,0.05012244444444444,0.00027592592592592594,3.3333333333333333e-06
0.05,0.00544,0.95,254531.0,4.87,0.05019044444444445,0.00027592592592592594,3.3333333333333333e-06
0.05,0.00544,1.0,629880.0,4.87,0.05019540740740741,0.00027592592592592594,3.3333333333333333e-06
0.1,0.00766,0.001,16653.0,5.42,0.000748962962962963,7.407407407407407e-07,0.0
0.1,0.00766,0.005,19096.0,5.42,0.003178962962962963,2.666666666666667e-06,0.0
0.1,0.00766,0.01,20570.0,5.25,0.005738814814814815,4.8888888888888885e-06,0.0
0.1,0.00766,0.05,26422.0,5.09,0.02002814814814815,3.9925925925925926e-05,1.4814814814814815e-07
0.1,0.00766,0.1,32502.0,5.06,0.030953925925925926,8.548148148148148e-05,2.962962962962963e-07
0.1,0.00766,0.25,54332.0,4.94,0.05800770370370371,0.0003046666666666667,2e-06
0.1,0.00766,0.5,88857.0,4.87,0.0864894074074074,0.0004574074074074074,4.296296296296296e-06
0.1,0.00766,0.75,148148.0,4.87,0.09818792592592593,0.0005347407407407408,5.407407407407407e-06
0.1,0.00766,0.9,212875.0,4.87,0.09995777777777778,0.0005368888888888889,5.407407407407407e-06
0.1,0.00766,0.95,254531.0,4.87,0.10011222222222223,0.0005368888888888889,5.407407407407407e-06
0.1,0.00766,1.0,629880.0,4.87,0.10013133333333334,0.0005368888888888889,5.407407407407407e-06
0.25,0.01983,0.001,16653.0,5.42,0.0009965925925925925,7.407407407407407e-07,0.0
0.25,0.01983,0.005,19096.0,5.42,0.004935259259259259,4e-06,0.0
0.25,0.01983,0.01,20570.0,5.16,0.009770148148148148,9.925925925925926e-06,0.0
0.25,0.01983,0.05,26422.0,5.04,0.044490444444444444,0.00013703703703703705,8.148148148148149e-07
