precision_quantile,precision_threshold,runtime_quantile,runtime_threshold,optimal_val,feasible_ratio,top_10%_overlap,top_1%_overlap
0.001,0.9526203528434871,0.001,0.3677341938018799,,0.0,0.0,0.0
0.001,0.9526203528434871,0.005,0.5315885543823242,,0.0,0.0,0.0
0.001,0.9526203528434871,0.01,0.6536812782287598,,0.0,0.0,0.0
0.001,0.9526203528434871,0.05,1.5068089962005615,,0.0,0.0,0.0
0.001,0.9526203528434871,0.1,2.758502960205078,,0.0,0.0,0.0
0.001,0.9526203528434871,0.25,7.637221813201904,,0.0,0.0,0.0
0.001,0.9526203528434871,0.5,26.39716148376465,0.06490187488064347,6.666666666666667e-06,6.666666666666667e-06,0.0
0.001,0.9526203528434871,0.75,124.14740514755249,0.04667542884103393,0.00014,0.00014,9.333333333333333e-05
0.001,0.9526203528434871,0.9,639.0790882110596,0.04667542884103393,0.00042,0.00042,0.00025333333333333333
0.001,0.9526203528434871,0.95,1813.0010478496552,0.04667542884103393,0.0006733333333333333,0.0006733333333333333,0.00042666666666666667
0.001,0.9526203528434871,1.0,144576.31625151634,0.04595648120064255,0.0010133333333333333,0.0010133333333333333,0.0006933333333333333
0.005,0.9477112786433026,0.001,0.3677341938018799,,0.0,0.0,0.0
0.005,0.9477112786433026,0.005,0.5315885543823242,,0.0,0.0,0.0
0.005,0.9477112786433026,0.01,0.6536812782287598,,0.0,0.0,0.0
0.005,0.9477112786433026,0.05,1.5068089962005615,,0.0,0.0,0.0
0.005,0.9477112786433026,0.1,2.758502960205078,,0.0,0.0,0.0
0.005,0.9477112786433026,0.25,7.637221813201904,,0.0,0.0,0.0
0.005,0.9477112786433026,0.5,26.39716148376465,0.05382839618508406,6e-05,6e-05,2.6666666666666667e-05
0.005,0.9477112786433026,0.75,124.14740514755249,0.04667542884103393,0.0006866666666666667,0.00068,0.0003533333333333333
0.005,0.9477112786433026,0.9,639.0790882110596,0.04285321111223439,0.0022,0.002193333333333333,0.00112
0.005,0.9477112786433026,0.95,1813.0010478496552,0.04285321111223439,0.0032933333333333334,0.0032866666666666665,0.0016733333333333333
0.005,0.9477112786433026,1.0,144576.31625151634,0.04285321111223439,0.005026666666666666,0.00502,0.0027133333333333332
0.01,0.9448870894203559,0.001,0.3677341938018799,,0.0,0.0,0.0
0.01,0.9448870894203559,0.005,0.5315885543823242,,0.0,0.0,0.0
0.01,0.9448870894203559,0.01,0.6536812782287598,,0.0,0.0,0.0
0.01,0.9448870894203559,0.05,1.5068089962005615,,0.0,0.0,0.0
0.01,0.9448870894203559,0.1,2.758502960205078,,0.0,0.0,0.0
0.01,0.9448870894203559,0.25,7.637221813201904,,0.0,0.0,0.0
0.01,0.9448870894203559,0.5,26.39716148376465,0.052587088149720795,0.00018,0.00018,5.333333333333333e-05
0.01,0.9448870894203559,0.75,124.14740514755249,0.04611936777541881,0.0014,0.0013933333333333332,0.00054
0.01,0.9448870894203559,0.9,639.0790882110596,0.042134263471843125,0.004486666666666667,0.00448,0.0018533333333333334
0.01,0.9448870894203559,0.95,1813.0010478496552,0.042134263471843125,0.0067733333333333335,0.0067666666666666665,0.00278
0.01,0.9448870894203559,1.0,144576.31625151634,0.042134263471843125,0.010033333333333333,0.010026666666666666,0.00434
0.05,0.9308148975035518,0.001,0.3677341938018799,,0.0,0.0,0.0
0.05,0.9308148975035518,0.005,0.5315885543823242,,0.0,0.0,0.0
0.05,0.9308148975035518,0.01,0.6536812782287598,,0.0,0.0,0.0
0.05,0.9308148975035518,0.05,1.5068089962005615,,0.0,0.0,0.0
0.05,0.9308148975035518,0.1,2.758502960205078,,0.0,0.0,0.0
0.05,0.9308148975035518,0.25,7.637221813201904,0.06406778328222063,0.00016666666666666666,0.00014666666666666666,0.0
0.05,0.9308148975035518,0.5,26.39716148376465,0.051590109976521914,0.0032,0.0030066666666666666,0.00017333333333333334
0.05,0.9308148975035518,0.75,124.14740514755249,0.04611936777541881,0.012826666666666667,0.012233333333333334,0.00148
0.05,0.9308148975035518,0.9,639.0790882110596,0.042134263471843125,0.02834,0.027406666666666666,0.0044733333333333335
0.05,0.9308148975035518,0.95,1813.0010478496552,0.042134263471843125,0.03710666666666667,0.036026666666666665,0.006386666666666666
0.05,0.9308148975035518,1.0,144576.31625151634,0.042134263471843125,0.05004,0.04866,0.009506666666666667
0.1,0.9126364686312822,0.001,0.3677341938018799,,0.0,0.0,0.0
0.1,0.9126364686312822,0.005,0.5315885543823242,,0.0,0.0,0.0
0.1,0.9126364686312822,0.01,0.6536812782287598,,0.0,0.0,0.0
0.1,0.9126364686312822,0.05,1.5068089962005615,,0.0,0.0,0.0
0.1,0.9126364686312822,0.1,2.758502960205078,,0.0,0.0,0.0
0.1,0.9126364686312822,0.25,7.637221813201904,0.06406778328222063,0.0012933333333333334,0.0007466666666666666,0.0
0.1,0.9126364686312822,0.5,26.39716148376465,0.051590109976521914,0.01154,0.008493333333333334,0.00018
0.1,0.9126364686312822,0.75,124.14740514755249,0.04611936777541881,0.03418,0.027246666666666666,0.00156
0.1,0.9126364686312822,0.9,639.0790882110596,0.042134263471843125,0.06437333333333334,0.053706666666666666,0.00476
0.1,0.9126364686312822,0.95,1813.0010478496552,0.042134263471843125,0.07910666666666667,0.06676666666666667,0.00676
0.1,0.9126364686312822,1.0,144576.31625151634,0.042134263471843125,0.10000666666666666,0.08566666666666667,0.01002
0.25,0.8602951878167215,0.001,0.3677341938018799,,0.0,0.0,0.0
0.25,0.8602951878167215,0.005,0.5315885543823242,,0.0,0.0,0.0
0.25,0.8602951878167215,0.01,0.6536812782287598,,0.0,0.0,0.0
0.25,0.8602951878167215,0.05,1.5068089962005615,0.12514744043406467,0.0001,0.0,0.0
0.25,0.8602951878167215,0.1,2.758502960205078,0.09532515530392383,0.0015733333333333333,0.0,0.0
0.25,0.8602951878167215,0.25,7.637221813201904,0.06406778328222063,0.015513333333333334,0.00134,0.0
0.25,0.8602951878167215,0.5,26.39716148376465,0.051590109976521914,0.057806666666666666,0.011393333333333333,0.00018
0.25,0.8602951878167215,0.75,124.14740514755249,0.04611936777541881,0.1255,0.03342666666666667,0.00156
0.25,0.8602951878167215,0.9,639.0790882110596,0.042134263471843125,0.18945333333333333,0.06373333333333334,0.00476
0.25,0.8602951878167215,0.95,1813.0010478496552,0.042134263471843125,0.21569333333333332,0.07863333333333333,0.00676
0.25,0.8602951878167215,1.0,144576.31625151634,0.042134263471843125,0.25,0.10004,0.01002
0.5,0.8094906781693654,0.001,0.3677341938018799,0.16866904818072537,2.6666666666666667e-05,0.0,0.0
0.5,0.8094906781693654,0.005,0.5315885543823242,0.14631146159808583,0.00034,0.0,0.0
0.5,0.8094906781693654,0.01,0.6536812782287598,0.14457868544917374,0.00086,0.0,0.0
0.5,0.8094906781693654,0.05,1.5068089962005615,0.1200811062806817,0.008106666666666667,0.0,0.0
0.5,0.8094906781693654,0.1,2.758502960205078,0.09532515530392383,0.02232,0.0,0.0
0.5,0.8094906781693654,0.25,7.637221813201904,0.06406778328222063,0.07377333333333333,0.00134,0.0
0.5,0.8094906781693654,0.5,26.39716148376465,0.051590109976521914,0.17904666666666666,0.011393333333333333,0.00018
0.5,0.8094906781693654,0.75,124.14740514755249,0.04611936777541881,0.32122666666666666,0.03342666666666667,0.00156
0.5,0.8094906781693654,0.9,639.0790882110596,0.042134263471843125,0.42335333333333336,0.06373333333333334,0.00476
0.5,0.8094906781693654,0.95,1813.0010478496552,0.042134263471843125,0.45922,0.07863333333333333,0.00676
0.5,0.8094906781693654,1.0,144576.31625151634,0.042134263471843125,0.5000066666666667,0.10004,0.01002
0.75,0.7415514370220628,0.001,0.3677341938018799,0.16866904818072537,0.00062,0.0,0.0
0.75,0.7415514370220628,0.005,0.5315885543823242,0.14631146159808583,0.0029666666666666665,0.0,0.0
0.75,0.7415514370220628,0.01,0.6536812782287598,0.14457868544917374,0.005906666666666667,0.0,0.0
0.75,0.7415514370220628,0.05,1.5068089962005615,0.1200811062806817,0.02964,0.0,0.0
0.75,0.7415514370220628,0.1,2.758502960205078,0.09532515530392383,0.05938,0.0,0.0
